a,x,y,z,a,
9.39E+13,0.01436521,-0.009576807,0.062249243,3,acc
9.39E+13,0.011971008,0.004788403,0.08619126,3,acc
9.39E+13,0.050278235,-0.093373865,0.08140286,3,acc
9.39E+13,-0.023942016,0.045489833,0.033518825,3,acc
9.39E+13,0.011971008,-0.023942016,0.009576807,3,acc
9.39E+13,-0.01436521,0.009576807,0.035913024,3,acc
9.39E+13,-0.06464344,0,0.05267244,3,acc
9.39E+13,0.10534488,-0.047884032,0.023942016,3,acc
9.39E+13,0.004788403,-0.004788403,0.033518825,3,acc
9.39E+13,-0.06943185,0.023942016,0.04309563,3,acc
9.39E+13,-0.019153614,-0.110133275,0.02873042,3,acc
9.39E+13,0.031124622,-0.12210429,0.06943185,3,acc
9.39E+13,0.05746084,-0.033518825,0.074220255,3,acc
9.39E+13,0.04309563,0.05746084,0.02873042,3,acc
9.39E+13,0.04309563,0.11492168,0.02633622,3,acc
9.39E+13,0.01436521,-0.021547815,0.01436521,3,acc
9.39E+13,-0.047884032,-0.047884032,0.06464344,3,acc
9.39E+13,0.002394202,-0.062249243,-0.002394202,3,acc
9.39E+13,0,-0.021547815,0.004788403,3,acc
9.39E+13,0.023942016,-0.016759412,0.05267244,3,acc
9.39E+13,-0.047884032,-0.02873042,0.01436521,3,acc
9.39E+13,0.04070143,-0.007182605,0.050278235,3,acc
